matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527085023.6255867,1527085023.734787,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527085031.5504007,1527085035.668808,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527085036.4488091,1527085037.0572104,1.9845532254473409e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527085051.1128352,1527085068.2416654,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527085078.7716837,1527085099.2233195,1.2946629786532977e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527085103.0921264,1527085105.2761302,8.843830001742955e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527085110.252539,1527085114.136946,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527085114.4021463,1527085114.5269465,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527085125.181765,1527085129.6589732,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527085130.4857745,1527085131.0785756,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527085145.1810002,1527085162.15383,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527085172.4654481,1527085193.3694851,1.2946629786532977e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527085196.9106913,1527085199.172695,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527085206.3955078,1527085210.357915,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527085210.5763152,1527085210.7011154,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527085220.6539328,1527085224.8191402,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527085225.6147416,1527085226.1919427,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527085240.2319672,1527085258.2499988,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527085267.2200146,1527085287.8900511,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527085292.024058,1527085294.7696629,8.883553160567009e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527085300.2296727,1527085304.1764796,2.4163713059829555e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527085304.41048,1527085304.5352802,7.130641612679843e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527085314.176097,1527085319.5581067,4.529659375100226e-12,windows,mkl,0
