matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
graham1.mtx,9035x9035,non_def_pos,1527117154.268004,1527117154.7470295,0.04068018104349518,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527117171.6118789,1527117172.4157896,4.089088468402508e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527117281.2983217,1527117314.9608743,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527117371.5329988,1527117410.0998964,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527117436.499392,1527117442.8258774,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527117546.0001142,1527117617.2519763,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527117620.0817907,1527117620.5093455,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527117624.7992215,1527117625.2867177,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527117642.2822742,1527117643.0482042,4.089090747942091e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527117751.2847974,1527117784.932658,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527117841.7182834,1527117880.2947993,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527117906.628447,1527117912.934739,3.588106741519159e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527118017.241972,1527118088.6047704,2299661766256.716,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527118091.4231844,1527118091.8442552,1.3331260196024399e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527118096.178774,1527118096.659189,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527118113.6466913,1527118114.4244037,4.089088468402508e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527118222.6209,1527118256.4307454,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527118312.9071124,1527118351.437848,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527118377.7551932,1527118384.0290015,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527118487.012405,1527118558.084546,1201834970895.034,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527118560.9097183,1527118561.3403466,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527118565.5887277,1527118566.0731287,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527118583.0236077,1527118583.7988005,4.089076515968476e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527118691.3733573,1527118725.0337203,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527118781.5916708,1527118820.1582322,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527118846.2911339,1527118852.6322517,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527118956.4407406,1527119027.7898881,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527119030.620951,1527119031.063877,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527119035.3460195,1527119035.8203664,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527119052.7662466,1527119053.540529,4.089076515968476e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527119161.981781,1527119195.7757998,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527119252.018425,1527119290.5950143,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527119316.8855016,1527119323.1811821,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527119426.3207276,1527119497.2752123,1201834970895.034,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527119500.1084616,1527119500.5403824,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527119504.7952158,1527119505.2805412,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527119522.2397876,1527119523.005134,4.089088468402508e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527119631.305719,1527119664.9242716,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527119721.5964048,1527119760.17425,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527119786.4756215,1527119792.799776,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527119896.161887,1527119967.602626,715977832381.3489,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527119970.4443595,1527119970.863466,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527119975.1681602,1527119975.6526563,0.041737243252635274,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527119992.5381224,1527119993.3008337,4.089090747942091e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527120101.9582365,1527120135.6114185,0.9902801586575007,windows,mkl,0
