timestamp,memory_physical(kB),memory_virtual(kB)
1527070103.3525512,3222624.0,3316564.0
1527070103.4149513,3222624.0,3316564.0
1527070103.4773514,3223852.0,3316564.0
1527070103.5397515,3209984.0,3305228.0
1527070103.6021516,3209992.0,3305228.0
1527070103.6645517,3209992.0,3305228.0
1527070103.7269516,3209996.0,3305228.0
1527070103.789352,3210000.0,3305228.0
1527070103.851752,3210000.0,3305228.0
1527070103.9141521,3210000.0,3305228.0
1527070103.9765522,3211216.0,3305228.0
1527070104.0389524,3212516.0,3305228.0
1527070104.1013525,3212516.0,3305228.0
1527070104.1637528,3212516.0,3305228.0
1527070104.2261527,3212516.0,3305228.0
1527070104.2885528,3212516.0,3305228.0
1527070104.3509529,3212516.0,3305228.0
1527070104.413353,3212516.0,3305228.0
1527070104.4757533,3212516.0,3305228.0
1527070104.5381532,3212516.0,3305228.0
1527070104.6005533,3212516.0,3305228.0
1527070104.6629534,3212516.0,3305228.0
1527070104.7253535,3212516.0,3305228.0
1527070104.7877538,3212516.0,3305228.0
1527070104.8501537,3212516.0,3305228.0
1527070104.912554,3212516.0,3305228.0
1527070105.1777544,940264.0,3292604.0
1527070105.2401547,934936.0,1011432.0
1527070105.3025546,973824.0,1318572.0
1527070105.3649547,1036556.0,1318572.0
1527070105.4273548,1072156.0,1318572.0
1527070105.489755,1082164.0,1318572.0
1527070105.5521548,1082324.0,1318572.0
1527070105.6145551,1084200.0,1318572.0
1527070105.6769552,1088120.0,1318572.0
1527070105.7393553,1148440.0,1318572.0
1527070105.8017554,1157148.0,1318572.0
1527070105.8641555,1157148.0,1318572.0
1527070105.9265556,1157148.0,1318572.0
1527070105.988956,945268.0,1022784.0
1527070106.0513558,977336.0,2931596.0
1527070106.113756,1098712.0,2931596.0
1527070106.176156,1099552.0,2931596.0
1527070106.2385561,1103684.0,2931596.0
1527070106.3009565,1251816.0,2931596.0
1527070106.3633564,1251876.0,2931780.0
1527070106.4257567,1262396.0,2931780.0
1527070106.4881566,1280296.0,2931596.0
1527070106.5505567,1292828.0,2931596.0
1527070106.612957,1306328.0,2931596.0
1527070106.6753569,1313012.0,2931596.0
1527070106.7377572,1342224.0,2931596.0
1527070106.800157,1347300.0,2931596.0
1527070106.8625572,1354620.0,2931596.0
1527070106.9249575,1361392.0,2931596.0
1527070106.9873574,1369092.0,2931596.0
1527070107.0497577,1375584.0,2931596.0
1527070107.1121576,1383340.0,2931596.0
1527070107.174558,1388476.0,2931596.0
1527070107.236958,1395708.0,2931596.0
1527070107.2993581,1428688.0,2931596.0
1527070107.3617582,1488588.0,2931596.0
1527070107.424158,1493124.0,2931596.0
1527070107.5021584,1498440.0,2931596.0
1527070107.5645585,1504336.0,2931596.0
1527070107.6269586,1513712.0,2931596.0
1527070107.689359,1524416.0,2931596.0
1527070107.7517588,1531728.0,2931596.0
1527070107.8141592,1538196.0,2931596.0
1527070107.876559,1543292.0,2931596.0
1527070107.9389591,1549292.0,2931596.0
1527070108.0013595,1555408.0,2931596.0
1527070108.0637593,1559736.0,2931596.0
1527070108.1261597,1566812.0,2931596.0
1527070108.1885595,1575844.0,2931596.0
1527070108.2509599,1582712.0,2931596.0
1527070108.31336,1590588.0,2931596.0
1527070108.3757598,1597332.0,2931596.0
1527070108.4381602,1604896.0,2931596.0
1527070108.50056,1611984.0,2931596.0
1527070108.5629604,1617756.0,2931596.0
1527070108.6253605,1624032.0,2931596.0
1527070108.6877604,1630580.0,2931596.0
1527070108.7501607,1637524.0,2931596.0
1527070108.8125606,1643652.0,2931596.0
1527070108.874961,1665228.0,2931596.0
1527070108.937361,1672944.0,2931596.0
1527070108.999761,1680480.0,2931596.0
1527070109.0621612,1689332.0,2931596.0
1527070109.1245613,1696800.0,2931596.0
1527070109.1869614,1704288.0,2931596.0
1527070109.2493615,1711464.0,2931596.0
1527070109.3117616,1716580.0,2931596.0
1527070109.3741617,1722292.0,2931596.0
1527070109.4365618,1731248.0,2931596.0
1527070109.498962,1779388.0,2931596.0
1527070109.5613623,1784752.0,2931596.0
1527070109.6237621,1789572.0,2931596.0
1527070109.6861622,1818460.0,2931596.0
1527070109.7485623,1854028.0,2931596.0
1527070109.8109624,1858908.0,2931596.0
1527070109.8733628,1862400.0,2931596.0
1527070109.9357626,1865744.0,2931596.0
1527070109.9981627,1869980.0,2931596.0
1527070110.0605628,1878180.0,2931596.0
1527070110.122963,1881596.0,2931596.0
1527070110.1853633,1885932.0,2931596.0
1527070110.2477632,1889012.0,2931596.0
1527070110.3101635,1895900.0,2931596.0
1527070110.3725634,1902608.0,2931596.0
1527070110.4349637,1909156.0,2931596.0
1527070110.4973638,1915988.0,2931596.0
1527070110.5597637,1921500.0,2931596.0
1527070110.622164,1936936.0,2931596.0
1527070110.6845639,1942848.0,2931596.0
1527070110.7469642,1948240.0,2931596.0
1527070110.8093643,1954224.0,2931596.0
1527070110.8717644,1960788.0,2931596.0
1527070110.9341645,1965792.0,2931596.0
1527070110.9965644,1970584.0,2931596.0
1527070111.0589647,1975672.0,2931596.0
1527070111.1213648,1982860.0,2931596.0
1527070111.183765,1989284.0,2931596.0
1527070111.246165,1996484.0,2931596.0
1527070111.308565,2004264.0,2931596.0
1527070111.3709652,2011740.0,2931596.0
1527070111.4333656,2018176.0,2931596.0
1527070111.4957654,2024452.0,2931596.0
1527070111.5581656,2029012.0,2931596.0
1527070111.6205657,2033856.0,2931596.0
1527070111.6829658,2040368.0,2931596.0
1527070111.745366,2047384.0,2931596.0
1527070111.807766,2083204.0,2931596.0
1527070111.870166,2090492.0,2931596.0
1527070111.9325662,2094096.0,2931596.0
1527070111.9949663,2106008.0,2931596.0
1527070112.0573666,2150244.0,2931596.0
1527070112.1197665,2217776.0,2931596.0
1527070112.1821668,2222268.0,2931596.0
1527070112.2445667,2225184.0,2931596.0
1527070112.3069668,2228276.0,2931596.0
1527070112.3693671,2240872.0,2931596.0
1527070112.431767,2246532.0,2931596.0
1527070112.4941673,2252604.0,2931596.0
1527070112.5565672,2258908.0,2931596.0
1527070112.6189673,2265048.0,2931596.0
1527070112.6813676,2271180.0,2931596.0
1527070112.7437677,2276704.0,2931596.0
1527070112.8061678,2281176.0,2931596.0
1527070112.8685677,2285720.0,2931596.0
1527070112.930968,2290024.0,2931596.0
1527070112.9933681,2294660.0,2931596.0
1527070113.0557683,2311288.0,2931596.0
1527070113.1181684,2314796.0,2931596.0
1527070113.1805682,2318216.0,2931596.0
1527070113.2429686,2321572.0,2931596.0
1527070113.3053687,2323228.0,2931596.0
1527070113.3677685,2328096.0,2931596.0
1527070113.4301689,2331264.0,2931596.0
1527070113.492569,2334364.0,2931596.0
1527070113.554969,2337404.0,2931596.0
1527070113.6173692,2340376.0,2931596.0
1527070113.6797693,2342524.0,2931596.0
1527070113.7421694,2346024.0,2931596.0
1527070113.8045695,2349452.0,2931596.0
1527070113.8669696,2352812.0,2931596.0
1527070113.9293697,2356112.0,2931596.0
1527070113.9917698,2359348.0,2931596.0
1527070114.0541701,2364076.0,2931596.0
1527070114.11657,2367148.0,2931596.0
1527070114.17897,2368664.0,2931596.0
1527070114.2413704,2372068.0,2931596.0
1527070114.3037703,2377080.0,2931596.0
1527070114.3661706,2381952.0,2931596.0
1527070114.4285705,2385116.0,2931596.0
1527070114.4909706,2389744.0,2931596.0
1527070114.553371,2393908.0,2931596.0
1527070114.6157708,2400068.0,2931596.0
1527070114.678171,2407900.0,2931596.0
1527070114.740571,2414200.0,2931596.0
1527070114.8029714,2421380.0,2931596.0
1527070114.8653715,2429276.0,2931596.0
