matrix, dimensions, type, n_iter, time_start, time_stop 
PR02R.mtx, 161070x161070, non_def_pos, 18, 1527101178.504479, 1527101201.198263 
PR02R.mtx, 161070x161070, non_def_pos, 19, 1527101201.227106, 1527101228.273759 
PR02R.mtx, 161070x161070, non_def_pos, 20, 1527101228.298609, 1527101255.348181 
PR02R.mtx, 161070x161070, non_def_pos, 21, 1527101255.377735, 1527101277.258042 
PR02R.mtx, 161070x161070, non_def_pos, 22, 1527101277.282895, 1527101301.169140 
PR02R.mtx, 161070x161070, non_def_pos, 23, 1527101301.197804, 1527101328.283198 
PR02R.mtx, 161070x161070, non_def_pos, 24, 1527101328.313916, 1527101355.302367 
PR02R.mtx, 161070x161070, non_def_pos, 25, 1527101355.331868, 1527101377.151312 
PR02R.mtx, 161070x161070, non_def_pos, 26, 1527101377.176312, 1527101402.444906 
PR02R.mtx, 161070x161070, non_def_pos, 27, 1527101402.470650, 1527101429.501875 
PR02R.mtx, 161070x161070, non_def_pos, 28, 1527101429.533545, 1527101456.589753 
PR02R.mtx, 161070x161070, non_def_pos, 29, 1527101456.616941, 1527101481.891158 
PR02R.mtx, 161070x161070, non_def_pos, 30, 1527101481.922952, 1527101508.299084 
ex19.mtx, 12005x12005, non_def_pos, 1, 1527101508.848892, 1527101508.962748 
ex19.mtx, 12005x12005, non_def_pos, 2, 1527101508.985570, 1527101509.098945 
ex19.mtx, 12005x12005, non_def_pos, 3, 1527101509.123720, 1527101509.241007 
ex19.mtx, 12005x12005, non_def_pos, 4, 1527101509.262900, 1527101509.377250 
ex19.mtx, 12005x12005, non_def_pos, 5, 1527101509.402100, 1527101509.520550 
ex19.mtx, 12005x12005, non_def_pos, 6, 1527101509.548380, 1527101509.661574 
ex19.mtx, 12005x12005, non_def_pos, 7, 1527101509.686342, 1527101509.800864 
ex19.mtx, 12005x12005, non_def_pos, 8, 1527101509.824328, 1527101509.939067 
ex19.mtx, 12005x12005, non_def_pos, 9, 1527101509.959613, 1527101510.073441 
ex19.mtx, 12005x12005, non_def_pos, 10, 1527101510.098093, 1527101510.214272 
ex19.mtx, 12005x12005, non_def_pos, 11, 1527101510.238924, 1527101510.319709 
ex19.mtx, 12005x12005, non_def_pos, 12, 1527101510.335958, 1527101510.440991 
ex19.mtx, 12005x12005, non_def_pos, 13, 1527101510.463387, 1527101510.577000 
ex19.mtx, 12005x12005, non_def_pos, 14, 1527101510.599110, 1527101510.712803 
ex19.mtx, 12005x12005, non_def_pos, 15, 1527101510.734510, 1527101510.847324 
ex19.mtx, 12005x12005, non_def_pos, 16, 1527101510.871513, 1527101510.987541 
ex19.mtx, 12005x12005, non_def_pos, 17, 1527101511.011038, 1527101511.123653 
ex19.mtx, 12005x12005, non_def_pos, 18, 1527101511.147510, 1527101511.252259 
ex19.mtx, 12005x12005, non_def_pos, 19, 1527101511.273914, 1527101511.376551 
ex19.mtx, 12005x12005, non_def_pos, 20, 1527101511.399432, 1527101511.500254 
ex19.mtx, 12005x12005, non_def_pos, 21, 1527101511.522585, 1527101511.624557 
ex19.mtx, 12005x12005, non_def_pos, 22, 1527101511.645009, 1527101511.746594 
ex19.mtx, 12005x12005, non_def_pos, 23, 1527101511.769430, 1527101511.870074 
ex19.mtx, 12005x12005, non_def_pos, 24, 1527101511.891832, 1527101511.994176 
ex19.mtx, 12005x12005, non_def_pos, 25, 1527101512.014758, 1527101512.116842 
ex19.mtx, 12005x12005, non_def_pos, 26, 1527101512.139867, 1527101512.242175 
ex19.mtx, 12005x12005, non_def_pos, 27, 1527101512.265575, 1527101512.366216 
ex19.mtx, 12005x12005, non_def_pos, 28, 1527101512.388318, 1527101512.490635 
ex19.mtx, 12005x12005, non_def_pos, 29, 1527101512.511787, 1527101512.613897 
ex19.mtx, 12005x12005, non_def_pos, 30, 1527101512.636080, 1527101512.739023 
graham1.mtx, 9035x9035, non_def_pos, 1, 1527101513.346799, 1527101513.690955 
graham1.mtx, 9035x9035, non_def_pos, 2, 1527101513.712542, 1527101514.050604 
graham1.mtx, 9035x9035, non_def_pos, 3, 1527101514.098589, 1527101514.437334 
graham1.mtx, 9035x9035, non_def_pos, 4, 1527101514.459098, 1527101514.815782 
graham1.mtx, 9035x9035, non_def_pos, 5, 1527101514.837691, 1527101515.178452 
graham1.mtx, 9035x9035, non_def_pos, 6, 1527101515.200632, 1527101515.509487 
graham1.mtx, 9035x9035, non_def_pos, 7, 1527101515.530078, 1527101515.831794 
graham1.mtx, 9035x9035, non_def_pos, 8, 1527101515.851044, 1527101516.159405 
graham1.mtx, 9035x9035, non_def_pos, 9, 1527101516.178440, 1527101516.494920 
graham1.mtx, 9035x9035, non_def_pos, 10, 1527101516.513638, 1527101516.814964 
graham1.mtx, 9035x9035, non_def_pos, 11, 1527101516.833811, 1527101517.142585 
graham1.mtx, 9035x9035, non_def_pos, 12, 1527101517.162711, 1527101517.464273 
graham1.mtx, 9035x9035, non_def_pos, 13, 1527101517.480649, 1527101517.783191 
graham1.mtx, 9035x9035, non_def_pos, 14, 1527101517.802143, 1527101518.130649 
graham1.mtx, 9035x9035, non_def_pos, 15, 1527101518.148869, 1527101518.453389 
graham1.mtx, 9035x9035, non_def_pos, 16, 1527101518.473352, 1527101518.778518 
graham1.mtx, 9035x9035, non_def_pos, 17, 1527101518.798374, 1527101519.108056 
graham1.mtx, 9035x9035, non_def_pos, 18, 1527101519.124714, 1527101519.461177 
graham1.mtx, 9035x9035, non_def_pos, 19, 1527101519.483778, 1527101519.821996 
graham1.mtx, 9035x9035, non_def_pos, 20, 1527101519.845293, 1527101520.194815 
graham1.mtx, 9035x9035, non_def_pos, 21, 1527101520.215481, 1527101520.553618 
graham1.mtx, 9035x9035, non_def_pos, 22, 1527101520.574657, 1527101520.912618 
graham1.mtx, 9035x9035, non_def_pos, 23, 1527101520.932011, 1527101521.270306 
graham1.mtx, 9035x9035, non_def_pos, 24, 1527101521.290051, 1527101521.629404 
graham1.mtx, 9035x9035, non_def_pos, 25, 1527101521.649386, 1527101521.986960 
graham1.mtx, 9035x9035, non_def_pos, 26, 1527101522.007779, 1527101522.357974 
graham1.mtx, 9035x9035, non_def_pos, 27, 1527101522.379516, 1527101522.719285 
graham1.mtx, 9035x9035, non_def_pos, 28, 1527101522.742291, 1527101523.089773 
graham1.mtx, 9035x9035, non_def_pos, 29, 1527101523.110523, 1527101523.539788 
graham1.mtx, 9035x9035, non_def_pos, 30, 1527101523.563528, 1527101524.018701 
raefsky3.mtx, 21200x21200, non_def_pos, 1, 1527101527.520083, 1527101528.385134 
raefsky3.mtx, 21200x21200, non_def_pos, 2, 1527101528.410421, 1527101529.282706 
raefsky3.mtx, 21200x21200, non_def_pos, 3, 1527101529.306534, 1527101530.173974 
raefsky3.mtx, 21200x21200, non_def_pos, 4, 1527101530.198013, 1527101531.068217 
raefsky3.mtx, 21200x21200, non_def_pos, 5, 1527101531.092319, 1527101531.864408 
raefsky3.mtx, 21200x21200, non_def_pos, 6, 1527101531.887904, 1527101532.650775 
raefsky3.mtx, 21200x21200, non_def_pos, 7, 1527101532.672772, 1527101533.433903 
raefsky3.mtx, 21200x21200, non_def_pos, 8, 1527101533.457658, 1527101534.217969 
raefsky3.mtx, 21200x21200, non_def_pos, 9, 1527101534.245867, 1527101535.089488 
raefsky3.mtx, 21200x21200, non_def_pos, 10, 1527101535.112700, 1527101535.833944 
raefsky3.mtx, 21200x21200, non_def_pos, 11, 1527101535.852391, 1527101536.533245 
raefsky3.mtx, 21200x21200, non_def_pos, 12, 1527101536.552140, 1527101537.233873 
raefsky3.mtx, 21200x21200, non_def_pos, 13, 1527101537.255965, 1527101537.969239 
